raw_header,canonical_distance_km,gender,notes
6КМ МЪЖЕ,6,M,
6КМ ЖЕНИ,6,F,
13КМ МЪЖЕ,13,M,
13КМ ЖЕНИ,13,F,
19КМ ЖЕНИ,19,F,
12КМ ЖЕНИ,12,F,
15KM МЪЖЕ,15,M,
12КМ МЪЖЕ,12,M,
5КМ ЖЕНИ,5,F,
15КМ ЖЕНИ,15,F,
6KM,6,mixed,no gender in header
19КМ МЪЖЕ,19,M,
11KM,11,mixed,no gender in header
5.5KM,5.5,mixed,no gender in header
17КМ ЖЕНИ,17,F,
6км Мъже,6,M,
6км Жени,6,F,
10КМ МЪЖЕ,10,M,
10КМ ЖЕНИ,10,F,
5КМ МЪЖЕ,5,M,
11.5КМ МЪЖЕ,11.5,M,
11.5КМ ЖЕНИ,11.5,F,
5.5КМ МЪЖЕ,5.5,M,
5.5КМ ЖЕНИ,5.5,F,
11КМ ЖЕНИ,11,F,
18КМ ЖЕНИ,18,F,
1000м деца Жени,1.0,F,kids/youth race; distance given in meters
16КМ ЖЕНИ,16,F,
Мъже,,M,no distance found — fill in manually
Жени,,F,no distance found — fill in manually
21КМ ЖЕНИ,21,F,
9КМ МЪЖЕ,9,M,
17КМ МЪЖЕ,17,M,
16KM,16,mixed,no gender in header
21км Мъже,21,M,
13км Мъже,13,M,
13км Жени,13,F,
6км МЪЖЕ,6,M,
19КМ Жени,19,F,
13КМ Мъже,13,M,
6КМ - Мъже,6,M,
18КМ МЪЖЕ,18,M,
1000м деца Мъже,1.0,M,kids/youth race; distance given in meters
10КМ Мъже,10,M,
16КМ МЪЖЕ,16,M,
10KM МЪЖЕ,10,M,
7КМ МЪЖЕ,7,M,
7КМ ЖЕНИ,7,F,
15KM ЖЕНИ,15,F,
12КМ Мъже,12,M,
